Source,Target
psg,neymarjr
psg,danialves
psg,davidluiz_4
psg,lucasmoura7
psg,thiagosilva_33
negodoborel,kaka
negodoborel,psg
negodoborel,alexandrepires_
negodoborel,galvaobueno
negodoborel,bruninho1
negodoborel,pato
negodoborel,ronaldo
negodoborel,davidbeckham
negodoborel,justinbieber
negodoborel,euandremarques
negodoborel,caiocastro
negodoborel,seujorge
negodoborel,10emerson10
negodoborel,ticoelias
negodoborel,hugogloss
negodoborel,gabrielmedina
negodoborel,neymarpai_
negodoborel,tgmartins
negodoborel,hulkparaiba
negodoborel,andre_santos27
negodoborel,thiagosilva_33
negodoborel,fredguedes9
negodoborel,paulinhop8
negodoborel,davidluiz_4
negodoborel,oscar_emboaba
negodoborel,jotaamancio
negodoborel,leomessi
negodoborel,thbarbosa
negodoborel,marcelotwelve
negodoborel,danialves
negodoborel,neymarjr
negodoborel,guimemc
tombrady,ronaldo
tombrady,marcelotwelve
tombrady,psg
tombrady,neymarjr
tombrady,kaka
tombrady,davidbeckham
danbilzerian,neymarjr
danbilzerian,kellyslater
m_phelps00,davidbeckham
m_phelps00,kellyslater
m_phelps00,danbilzerian
oficialthiagopereira,pedroscooby
oficialthiagopereira,hugogloss
oficialthiagopereira,10emerson10
oficialthiagopereira,tgmartins
oficialthiagopereira,andersonvarejao18
oficialthiagopereira,neymarpai_
oficialthiagopereira,caiocastro
oficialthiagopereira,filipetoledo
oficialthiagopereira,galvaobueno
oficialthiagopereira,seujorge
oficialthiagopereira,danbilzerian
oficialthiagopereira,gabrielmedina
oficialthiagopereira,timebrasil
oficialthiagopereira,justinbieber
oficialthiagopereira,olympics
oficialthiagopereira,bobburnquist
oficialthiagopereira,gabrielopensadoroficial
oficialthiagopereira,kaka
oficialthiagopereira,snoopdogg
10emerson10,negodoborel
10emerson10,kaka
10emerson10,bruninho1
10emerson10,gentilfernanda
10emerson10,paulinhop8
10emerson10,thbarbosa
10emerson10,alexandrepires_
10emerson10,neymarjr
10emerson10,tgmartins
10emerson10,pedroscooby
ticoelias,tombrady
ticoelias,alexandrepires_
ticoelias,gabrielmedina
ticoelias,jotaamancio
ticoelias,psg
ticoelias,marcelotwelve
ticoelias,fredguedes9
ticoelias,hugogloss
ticoelias,leomessi
ticoelias,kaka
ticoelias,marcusbuaiz
ticoelias,euandremarques
ticoelias,tgmartins
ticoelias,bruninho1
ticoelias,danialves
ticoelias,thiagosilva_33
ticoelias,davidluiz_4
ticoelias,thbarbosa
ticoelias,ronaldo
ticoelias,paulinhop8
ticoelias,neymarjr
ticoelias,andre_santos27
papatinho,seujorge
papatinho,negodoborel
papatinho,filipetoledo
papatinho,snoopdogg
papatinho,pedroscooby
papatinho,leomessi
papatinho,justinbieber
papatinho,thbarbosa
papatinho,carlosburle
papatinho,marcelotwelve
papatinho,kellyslater
papatinho,guimemc
papatinho,ronaldo
papatinho,gabrielmedina
papatinho,gabrielopensadoroficial
papatinho,neymarjr
papatinho,bobburnquist
juliobaptistaoficial,bobsinclar
juliobaptistaoficial,galvaobueno
juliobaptistaoficial,justinbieber
juliobaptistaoficial,caiocastro
juliobaptistaoficial,davidbeckham
juliobaptistaoficial,jotaamancio
juliobaptistaoficial,leomessi
juliobaptistaoficial,neymarpai_
juliobaptistaoficial,danbilzerian
juliobaptistaoficial,gabrielmedina
juliobaptistaoficial,pato
juliobaptistaoficial,marcelotwelve
juliobaptistaoficial,marcusbuaiz
juliobaptistaoficial,gabrielopensadoroficial
juliobaptistaoficial,andre_santos27
juliobaptistaoficial,massafelipe19
juliobaptistaoficial,rubarrichello
juliobaptistaoficial,andreolifelipe
juliobaptistaoficial,tkanaan
juliobaptistaoficial,kaka
juliobaptistaoficial,16lucassilva
juliobaptistaoficial,ronaldo
juliobaptistaoficial,neymarjr
juliobaptistaoficial,thbarbosa
juliobaptistaoficial,danialves
juliobaptistaoficial,alexandrepires_
16lucassilva,ronaldo
16lucassilva,juliobaptistaoficial
16lucassilva,guimemc
16lucassilva,neymarjr
16lucassilva,marcelotwelve
16lucassilva,kaka
neymarpai_,vitorbelfort
neymarpai_,seujorge
neymarpai_,gabrielmedina
neymarpai_,marcusbuaiz
neymarpai_,pedroscooby
neymarpai_,tiagoleifert
neymarpai_,davidluiz_4
neymarpai_,kaka
neymarpai_,oscar_emboaba
neymarpai_,hulkparaiba
neymarpai_,paulinhop8
neymarpai_,thbarbosa
neymarpai_,danialves
neymarpai_,pato
neymarpai_,jotaamancio
neymarpai_,marcelotwelve
neymarpai_,ronaldo
neymarpai_,thiagosilva_33
neymarpai_,leomessi
neymarpai_,dantebahia
neymarpai_,lucasmoura7
neymarpai_,alexandrepires_
neymarpai_,bruninho1
neymarpai_,fredguedes9
neymarpai_,neymarjr
jotaamancio,paulinhop8
jotaamancio,negodoborel
jotaamancio,ticoelias
jotaamancio,thiagosilva_33
jotaamancio,lucasmoura7
jotaamancio,psg
jotaamancio,hulkparaiba
jotaamancio,marcelotwelve
jotaamancio,tiagoleifert
jotaamancio,hugogloss
jotaamancio,leomessi
jotaamancio,juliobaptistaoficial
jotaamancio,ronaldo
jotaamancio,edmundosouza10
jotaamancio,massafelipe19
jotaamancio,davidluiz_4
jotaamancio,gabrielmedina
jotaamancio,andre_santos27
jotaamancio,neymarpai_
timebrasil,carlosburle
timebrasil,galvaobueno
timebrasil,filipetoledo
timebrasil,davidluiz_4
timebrasil,thbarbosa
timebrasil,andreolifelipe
timebrasil,marcelotwelve
timebrasil,tiagoleifert
timebrasil,andersonvarejao18
timebrasil,m_phelps00
timebrasil,lucasmoura7
timebrasil,kaka
timebrasil,gabrielmedina
timebrasil,thiagosilva_33
timebrasil,hulkparaiba
timebrasil,oscar_emboaba
timebrasil,ronaldo
timebrasil,bruninho1
timebrasil,flaviocanto
timebrasil,gentilfernanda
timebrasil,neymarjr
timebrasil,oficialthiagopereira
timebrasil,olympics
davidbeckham,tombrady
davidbeckham,lucasmoura7
davidbeckham,snoopdogg
davidbeckham,pato
davidbeckham,kaka
davidbeckham,thiagosilva_33
davidbeckham,leomessi
davidbeckham,neymarjr
davidbeckham,psg
davidbeckham,ronaldo
john_john_florence,seujorge
john_john_florence,filipetoledo
john_john_florence,gabrielmedina
john_john_florence,kellyslater
tarsomarquesoficial,hulkparaiba
tarsomarquesoficial,rubarrichello
galvaobueno,m_phelps00
galvaobueno,oficialthiagopereira
galvaobueno,timebrasil
galvaobueno,flaviocanto
galvaobueno,juliobaptistaoficial
galvaobueno,caiocastro
galvaobueno,gentilfernanda
galvaobueno,tiagoleifert
galvaobueno,gabrielmedina
galvaobueno,neymarjr
galvaobueno,hugogloss
galvaobueno,euandremarques
galvaobueno,thiagosilva_33
galvaobueno,neymarpai_
galvaobueno,rubarrichello
galvaobueno,pato
galvaobueno,cacabuenoracing
galvaobueno,massafelipe19
galvaobueno,kaka
galvaobueno,ronaldo
pato,tombrady
pato,hulkparaiba
pato,ronaldo
pato,negodoborel
pato,thiagosilva_33
pato,marcelotwelve
pato,kaka
pato,hugogloss
pato,justinbieber
pato,oscar_emboaba
pato,massafelipe19
pato,davidbeckham
pato,neymarjr
flaviocanto,olympics
flaviocanto,john_john_florence
flaviocanto,tiagoleifert
flaviocanto,galvaobueno
flaviocanto,oficialthiagopereira
flaviocanto,timebrasil
flaviocanto,vitorbelfort
flaviocanto,marcelotwelve
flaviocanto,bruninho1
flaviocanto,rubarrichello
flaviocanto,filipetoledo
flaviocanto,bobburnquist
flaviocanto,maya
flaviocanto,kellyslater
guimemc,gabrielmedina
guimemc,neymarjr
andersonvarejao18,timebrasil
andersonvarejao18,kaka
andersonvarejao18,bruninho1
andersonvarejao18,ronaldo
andersonvarejao18,marcelotwelve
andersonvarejao18,neymarjr
andersonvarejao18,danialves
andersonvarejao18,thbarbosa
andersonvarejao18,andreolifelipe
acelerados,galvaobueno
acelerados,kaka
acelerados,tarsomarquesoficial
acelerados,gabrielmedina
acelerados,andreolifelipe
acelerados,massafelipe19
acelerados,tkanaan
acelerados,cacabuenoracing
acelerados,rubarrichello
gentilfernanda,alexandrepires_
gentilfernanda,hugogloss
gentilfernanda,maya
gentilfernanda,galvaobueno
gentilfernanda,andreolifelipe
gentilfernanda,pato
gentilfernanda,euandremarques
gentilfernanda,oscar_emboaba
gentilfernanda,hulkparaiba
gentilfernanda,davidluiz_4
gentilfernanda,paulinhop8
gentilfernanda,marcelotwelve
gentilfernanda,thbarbosa
gentilfernanda,thiagosilva_33
gentilfernanda,bruninho1
gentilfernanda,fredguedes9
gentilfernanda,gabrielmedina
gentilfernanda,filipetoledo
gentilfernanda,carlosburle
gentilfernanda,leomessi
gentilfernanda,danialves
gentilfernanda,flaviocanto
gentilfernanda,pedroscooby
gentilfernanda,kaka
gentilfernanda,lucasmoura7
gentilfernanda,tiagoleifert
gentilfernanda,neymarjr
gentilfernanda,ronaldo
leomessi,paulinhop8
leomessi,davidbeckham
leomessi,ronaldo
leomessi,neymarjr
leomessi,danialves
olympics,carlosburle
olympics,maya
olympics,gentilfernanda
olympics,kaka
marcelotwelve,snoopdogg
marcelotwelve,hugogloss
marcelotwelve,bruninho1
marcelotwelve,tombrady
marcelotwelve,caiocastro
marcelotwelve,10emerson10
marcelotwelve,m_phelps00
marcelotwelve,lucasmoura7
marcelotwelve,seujorge
marcelotwelve,davidbeckham
marcelotwelve,juliobaptistaoficial
marcelotwelve,16lucassilva
